adm2_merge_key,year,month,sex,cyclone_exposure_1month,deaths,population
Abra,2006,1,Female,0,35,13655.583333333332
Abra,2006,1,Male,0,46,13327.166666666668
Abra,2006,2,Female,0,34,11701.4
Abra,2006,2,Male,0,65,10809.578947368422
Abra,2006,3,Female,0,35,10747.6
Abra,2006,3,Male,0,56,10087.85
Abra,2006,4,Female,0,45,12533.214285714286
Abra,2006,4,Male,0,54,10630.333333333332
Abra,2006,5,Female,0,54,12662.666666666668
Abra,2006,5,Male,0,48,11629.642857142859
Abra,2006,6,Female,0,29,10805.153846153848
Abra,2006,6,Male,0,33,10931.117647058822
Abra,2006,7,Female,0,43,14556.454545454546
Abra,2006,7,Male,0,71,10616.21052631579
Abra,2006,8,Female,0,35,11470.4375
Abra,2006,8,Male,0,57,10406.649999999998
Abra,2006,9,Female,0,45,11433.8125
Abra,2006,9,Male,0,53,11644.214285714286
Abra,2006,10,Female,1,49,10904.29411764706
Abra,2006,10,Male,1,69,10292.052631578947
Abra,2006,11,Female,1,50,10941.833333333332
Abra,2006,11,Male,1,65,10800.736842105262
Abra,2006,12,Female,0,41,12968.307692307691
Abra,2006,12,Male,0,79,10058.526315789473
Abra,2007,1,Female,0,33,13421.909090909092
Abra,2007,1,Male,0,48,12614.846153846152
Abra,2007,2,Female,0,32,11569.357142857141
Abra,2007,2,Male,0,56,12139.6
Abra,2007,3,Female,0,27,12646.454545454546
Abra,2007,3,Male,0,65,10277.588235294117
Abra,2007,4,Female,0,36,11051.357142857141
Abra,2007,4,Male,0,67,10774.263157894737
Abra,2007,5,Female,0,32,12026.42857142857
Abra,2007,5,Male,0,69,11355.6
Abra,2007,6,Female,0,53,10753.736842105263
Abra,2007,6,Male,0,68,11537.882352941178
Abra,2007,7,Female,0,46,10874.352941176472
Abra,2007,7,Male,0,55,10497
Abra,2007,8,Female,0,40,12035.857142857141
Abra,2007,8,Male,0,79,10605.263157894737
Abra,2007,9,Female,0,47,11053.2
Abra,2007,9,Male,0,59,11001.5
Abra,2007,10,Female,0,41,12327.866666666665
Abra,2007,10,Male,0,63,11753.5625
Abra,2007,11,Female,1,43,12669.076923076924
Abra,2007,11,Male,1,70,10531.36842105263
Abra,2007,12,Female,0,50,12300.2
Abra,2007,12,Male,0,55,10898.0625
Abra,2008,1,Female,1,54,10817.684210526317
Abra,2008,1,Male,1,62,10570.36842105263
Abra,2008,2,Female,0,42,13292.416666666668
Abra,2008,2,Male,0,61,10974.555555555555
Abra,2008,3,Female,0,42,12426.692307692309
Abra,2008,3,Male,0,61,11606
Abra,2008,4,Female,0,31,11699.166666666668
Abra,2008,4,Male,0,74,10096.9
Abra,2008,5,Female,1,37,11300.399999999998
Abra,2008,5,Male,1,53,11488.1875
Abra,2008,6,Female,1,40,13116.692307692307
Abra,2008,6,Male,1,62,11550.470588235294
Abra,2008,7,Female,0,58,11214.117647058823
Abra,2008,7,Male,0,75,9687.090909090908
Abra,2008,8,Female,0,62,10457.684210526317
