...1,ADM2_id,date_time_max_wind,vmax_sust,vmax_gust,sust_dur,gust_dur,sid,storm_id,usa_atcf_id,vmax_sust_knots,cyclone_category,year,month,day,adm2_name,adm2_merge_key
16427,2640588B11393510524278,2006-05-13T04:00:00Z,4.98538847458365,7.42822882712964,0,0,2006128N09138,Chanchu-2006,WP022006,9.690797532434683,Below Tropical Storm,2006,5,13,Abra,Abra
16428,2640588B29392713909073,2006-05-11T07:15:00Z,6.46344638200932,9.63053510919389,0,0,2006128N09138,Chanchu-2006,WP022006,12.563905615204998,Below Tropical Storm,2006,5,11,Agusan del Norte,Agusan del Norte
16429,2640588B20221108717018,2006-05-11T05:15:00Z,5.47433767253523,8.1567631320775,0,0,2006128N09138,Chanchu-2006,WP022006,10.641236541380882,Below Tropical Storm,2006,5,11,Agusan del Sur,Agusan del Sur
16430,2640588B21218366338371,2006-05-12T15:00:00Z,15.0493495148002,22.4235307770522,0,0,2006128N09138,Chanchu-2006,WP022006,29.25352756084922,Below Tropical Storm,2006,5,12,Aklan,Aklan
16431,2640588B82697045094820,2006-05-12T02:15:00Z,24.98507791925,37.2277660996825,405,405,2006128N09138,Chanchu-2006,WP022006,48.56699386255492,Tropical Storm / Severe Tropical Storm,2006,5,12,Albay,Albay
16432,2640588B32523752073662,2006-05-12T15:00:00Z,13.3501692209778,19.8917521392569,0,0,2006128N09138,Chanchu-2006,WP022006,25.950592938505487,Below Tropical Storm,2006,5,12,Antique,Antique
16433,2640588B24165862747597,2006-05-13T03:45:00Z,3.58529084881672,5.34208336473691,0,0,2006128N09138,Chanchu-2006,WP022006,6.969231763563894,Below Tropical Storm,2006,5,13,Apayao,Apayao
16434,2640588B82822310999177,2006-05-13T02:00:00Z,8.44773769118318,12.5871291598629,0,0,2006128N09138,Chanchu-2006,WP022006,16.421050433629514,Below Tropical Storm,2006,5,13,Aurora,Aurora
16435,2640588B29921835743372,2006-05-12T01:15:00Z,1.34530053017602,2.00449778996227,0,0,2006128N09138,Chanchu-2006,WP022006,2.6150489825773544,Below Tropical Storm,2006,5,12,Basilan,Basilan
16436,2640588B97763445928490,2006-05-13T03:30:00Z,18.2521041554559,27.1956351916293,0,0,2006128N09138,Chanchu-2006,WP022006,35.479170141541395,Tropical Storm / Severe Tropical Storm,2006,5,13,Bataan,Bataan
